Name,Phone Number,Province,Sport,Game Attendance,Age,Called,Call Center,Call Outcome,Applied,Decision
Noe Gregory,244788197076,New Brunswick,ice hockey,0.15,31,False,East,,,
Alayna Burch,998892742720,British Columbia,tennis,0.5,55,True,West,dead line,False,
Axel Washington,615707198801,New Brunswick,tennis,0.39,18,False,East,,,
Nadia Shields,248173143441,Ontario,baseball,0.52,28,True,South,interested,True,rejected
Nancy Kim,209864349772,New Brunswick,tennis,0.36,44,True,East,not interested,False,
Kenley Higgins,236821013785,Ontario,soccer,0.6,87,False,South,,,
Glenn Mcdowell,967370723899,Nova Scotia,rugby,0.51,37,True,East,dead line,False,
Jairo Barnes,669320435445,Ontario,soccer,0.17,35,False,South,,,
Destiny Ford,660799329843,Ontario,ice hockey,0.13,104,False,South,,,
Marquise Rogers,148816300234,Saskatchewan,rugby,0.62,26,False,West,,,
Rohan Farrell,974877090224,Manitoba,cricket,0.13,19,False,South,,,
Keon Odom,146144294055,Ontario,ice hockey,0.48,35,False,South,,,
Daniel Frederick,981748993658,New Brunswick,ice hockey,0.32,37,False,East,,,
Pablo Sweeney,876972302397,Northwest Territories,ice hockey,0.58,29,False,North,,,
Roland Atkinson,553591738116,Ontario,ice hockey,0.42,33,False,South,,,
Christine Beltran,203488205690,Alberta,cricket,0.54,32,False,West,,,
Braiden Padilla,374740702757,Manitoba,soccer,0.46,24,False,South,,,
Rachael Brennan,106501036747,Prince Edward Island,baseball,0.14,19,True,East,not interested,False,
Mia Aguilar,105795663066,Quebec,cricket,0.16,21,False,East,,,
Shannon Morrow,360141086671,Alberta,ice hockey,0.55,23,False,West,,,
Abram Morales,383169502272,Quebec,cricket,0.66,26,True,East,interested,True,rejected
Diana Delacruz,323376351731,British Columbia,basketball,0.21,35,False,West,,,
Stephany Yang,989712443776,Manitoba,ice hockey,0.58,37,True,South,interested,True,approved
Wayne Perry,641328834436,Ontario,rugby,0.35,19,False,South,,,
Laurel Hoffman,335952437394,Quebec,ice hockey,0.37,39,False,East,,,
Marie Rose,438174211254,Newfoundland and Labrador,cricket,0.54,25,False,East,,,
Edgar Rivera,97245852515,Quebec,rugby,0.76,65,False,East,,,
Nikolai Vaughn,166107709096,Ontario,cricket,0.15,22,False,South,,,
Adriana Guerrero,999291323113,Quebec,ice hockey,0.31,32,True,East,dead line,False,
Joseph Andrade,822034698923,Alberta,tennis,0.23,46,False,West,,,
Jane Barnett,996355756615,Alberta,tennis,0.61,23,True,West,interested,False,
Hadley Walsh,304080901329,Saskatchewan,tennis,0.2,48,False,West,,,
Areli Mathis,653744192926,Manitoba,tennis,0.16,31,False,South,,,
Blaine Friedman,628740276462,British Columbia,cricket,0.34,34,True,West,interested,True,rejected
Maverick Mcdonald,547683583996,Ontario,rugby,0.29,36,True,South,not interested,False,
Janelle Cisneros,677314351546,Nova Scotia,soccer,0.23,32,False,East,,,
Nicolas Carrillo,441453014328,Quebec,ice hockey,0.31,26,True,East,not interested,False,
Lawrence Hart,904540156274,British Columbia,cricket,0.25,18,False,West,,,
Azaria Maynard,237531524909,Quebec,baseball,0.39,92,False,East,,,
Natalee Jackson,655557895117,Saskatchewan,cricket,0.3,36,False,West,,,
Ethen Mayer,296445018763,Manitoba,soccer,0.47,19,False,South,,,
Ross Leonard,370630054977,Manitoba,ice hockey,0.66,144,False,South,,,
Athena English,536960493573,New Brunswick,cricket,0.62,30,False,East,,,
Rebekah Whitehead,748376844578,Newfoundland and Labrador,soccer,0.51,24,False,East,,,
Jaidyn Kidd,16106639975,Quebec,soccer,0.54,30,True,East,not interested,False,
Paris Munoz,650323612012,Quebec,ice hockey,0.73,18,True,East,interested,True,rejected
Desmond Mullen,119629829569,Quebec,soccer,0.19,22,False,East,,,
Phoebe Pugh,456358344055,Manitoba,ice hockey,0.52,22,False,South,,,
Andrew Price,176810200356,Saskatchewan,rugby,0.53,35,True,West,not interested,False,
Gregory Woodward,925770493501,Manitoba,rugby,0.48,29,False,South,,,
Antonio Stafford,877304594903,Quebec,soccer,0.42,22,False,East,,,
Fatima Ashley,966587193748,Manitoba,soccer,0.53,62,False,South,,,
Itzel Petty,510988910853,Quebec,ice hockey,0.55,61,True,East,not interested,False,
Kaelyn Lutz,331248654641,Saskatchewan,rugby,0.38,34,False,West,,,
Heidy Carney,928887715430,Ontario,soccer,0.15,37,False,South,,,
Rodrigo Sexton,506076519109,Quebec,ice hockey,0.3,23,False,East,,,
Adrienne Christian,709156304757,Manitoba,ice hockey,0.63,27,False,South,,,
George Blair,711103177093,Ontario,soccer,0.63,39,True,South,interested,True,approved
Izabelle Mullins,133739469894,Alberta,ice hockey,0.73,36,False,West,,,
Micah Kim,734283335661,Prince Edward Island,ice hockey,0.15,58,True,East,interested,True,rejected
Fernando Nicholson,863642196858,Quebec,ice hockey,0.67,64,False,East,,,
Rylee Moon,291905565043,Quebec,ice hockey,0.32,29,True,East,not interested,False,
Skyler Joseph,355426309800,British Columbia,ice hockey,0.83,44,False,West,,,
Chanel Ochoa,285081180306,Northwest Territories,tennis,0.81,36,True,North,interested,True,approved
Zane Ballard,452839235573,Alberta,baseball,0.63,30,False,West,,,
Benjamin Blair,143111466675,Quebec,ice hockey,0.26,31,False,East,,,
Kimberly Malone,590597332112,Alberta,cricket,0.76,20,False,West,,,
Nayeli Berger,146906284177,Nova Scotia,basketball,0.13,28,False,East,,,
Paulina Pennington,321341769898,Saskatchewan,baseball,0.49,24,True,West,dead line,False,
Colby Sheppard,435681746798,Manitoba,soccer,0.34,37,False,South,,,
Russell Reyes,286021814596,Ontario,cricket,0.23,26,False,South,,,
Holden Blevins,95288472299,Nova Scotia,tennis,0.37,76,False,East,,,
Draven Fernandez,377725833082,Ontario,ice hockey,0.55,19,True,South,interested,True,approved
Aryana Cobb,761682984116,Ontario,tennis,0.18,68,False,South,,,
Chace Graves,462168693647,Alberta,baseball,0.68,25,False,West,,,
Zariah Young,487353810037,Ontario,rugby,0.49,21,False,South,,,
Colin Beasley,164165157049,Saskatchewan,cricket,0.62,26,True,West,interested,True,rejected
Kristian Leblanc,292029616975,Ontario,basketball,0.5,20,False,South,,,
Nico Faulkner,306868574495,Prince Edward Island,baseball,0.29,72,False,East,,,
Quentin Welch,95767032629,Manitoba,soccer,0.29,30,False,South,,,
Marissa Wade,597946078794,Quebec,ice hockey,0.25,43,False,East,,,
Tristian Waller,663418085059,Ontario,baseball,0.32,32,False,South,,,
Adriel Barnett,121262598877,Ontario,ice hockey,0.67,34,False,South,,,
Lee Vazquez,708588022698,Saskatchewan,cricket,0.63,45,False,West,,,
London Weber,397265632721,Alberta,ice hockey,0.34,39,False,West,,,
Julian Waller,723975973224,Quebec,baseball,0.88,42,False,East,,,
Shamar Osborne,112945442697,Manitoba,cricket,0.25,29,False,South,,,
Ruby Hardin,846275405093,Nova Scotia,soccer,0.59,30,False,East,,,
Luka Joyce,343117734547,Alberta,soccer,0.31,35,True,West,not interested,False,
Valentino Camacho,8210646190,New Brunswick,rugby,0.21,47,False,East,,,
Sonny Holden,653615213636,Manitoba,cricket,0.26,52,True,South,dead line,False,
Anahi Hoover,681923525019,Ontario,tennis,0.24,25,True,South,dead line,False,
Khloe Mcintosh,268467124047,New Brunswick,cricket,0.81,30,False,East,,,
Kadyn Martin,56417828833,Saskatchewan,tennis,0.24,29,False,West,,,
Pedro Short,24229432510,New Brunswick,baseball,0.63,46,False,East,,,
Preston Gross,195791847014,Ontario,soccer,0.31,20,True,South,not interested,False,
Dania Oneill,109894678830,Ontario,ice hockey,0.53,30,False,South,,,
Leon Mason,724747905156,Quebec,baseball,0.7,29,False,East,,,
Vance Keller,970512356625,Quebec,soccer,0.32,28,True,East,not interested,False,
Braedon Singleton,242296257181,British Columbia,cricket,0.21,41,False,West,,,
Kai Mcintosh,36213696626,Quebec,cricket,0.15,58,False,East,,,
Trenton Meyers,594628636905,British Columbia,ice hockey,0.45,25,False,West,,,
Nia Dixon,553058801875,Alberta,baseball,0.6,19,False,West,,,
Hugo Glass,812047511813,Saskatchewan,soccer,0.51,44,False,West,,,
Trystan Harvey,114660983084,Ontario,ice hockey,0.49,39,False,South,,,
Mateo Miles,291163984800,British Columbia,ice hockey,0.17,31,False,West,,,
Isabel Carrillo,543412262653,Ontario,ice hockey,0.27,40,True,South,not interested,False,
Omar Vance,618202724286,Quebec,baseball,0.36,92,False,East,,,
Javion Berger,241436098949,New Brunswick,basketball,0.34,34,True,East,not interested,False,
Blaine Schaefer,981116032338,New Brunswick,ice hockey,0.38,47,False,East,,,
Evie Hoover,57003143127,Ontario,tennis,0.21,19,False,South,,,
Dereon Soto,707303433414,Nova Scotia,tennis,0.49,38,False,East,,,
Skyla Rodgers,206463199418,Manitoba,ice hockey,0.45,18,True,South,not interested,False,
Ada Downs,826108226624,Ontario,soccer,0.52,35,False,South,,,
Terrence Hunt,699220105667,Ontario,ice hockey,0.6,31,False,South,,,
Regina Zamora,155048717836,Ontario,baseball,0.3,82,False,South,,,
Haley Booker,821975987546,Ontario,ice hockey,0.8,31,False,South,,,
Violet Haynes,901538535156,Ontario,baseball,0.29,43,False,South,,,
Grant Graves,918642507353,Manitoba,ice hockey,0.25,76,True,South,not interested,False,
Dillan Manning,471627668335,Ontario,baseball,0.58,29,False,South,,,
Ryder Hudson,795920149056,Ontario,ice hockey,0.3,32,False,South,,,
Ella Conrad,456260013115,Manitoba,cricket,0.91,60,False,South,,,
Emerson Patel,380860959512,Nova Scotia,ice hockey,0.25,76,False,East,,,
Nolan Villarreal,603292241994,Manitoba,ice hockey,0.25,38,True,South,not interested,False,
Kyla Clements,192162103539,British Columbia,baseball,0.43,33,True,West,interested,True,rejected
Shyla Stokes,447935370872,New Brunswick,soccer,0.59,83,False,East,,,
Leonard Rollins,934332334305,Nova Scotia,baseball,0.67,36,False,East,,,
Phoebe Harrison,780290496540,Quebec,soccer,0.15,36,False,East,,,
Camila Cochran,53666258903,Quebec,ice hockey,0.43,20,False,East,,,
Kadin Knapp,219483115409,Ontario,ice hockey,0.41,33,False,South,,,
Kolton Warren,212461863925,Nova Scotia,cricket,0.53,22,False,East,,,
King Marshall,820329306459,Saskatchewan,cricket,0.25,26,False,West,,,
Priscilla Lambert,316031820898,Ontario,baseball,0.8,21,False,South,,,
Ashanti Farrell,998507033060,Ontario,ice hockey,0.71,63,True,South,interested,True,approved
Tripp Rosario,739306186377,Manitoba,rugby,0.42,35,False,South,,,
Regan Pittman,215411121086,British Columbia,ice hockey,0.43,36,False,West,,,
Yareli Barajas,902336146724,Ontario,ice hockey,0.43,19,True,South,dead line,False,
Gabrielle Crawford,301919299161,Manitoba,ice hockey,0.46,20,False,South,,,
Michelle Morrison,647603114051,Saskatchewan,baseball,0.14,18,False,West,,,
Nathanial Woods,252967989503,Manitoba,cricket,0.56,20,False,South,,,
Jack Eaton,268874113246,Nova Scotia,soccer,0.67,29,False,East,,,
